university_name,club_name
,
Case Western Reserve University,Case Western Reserve University Math Club
Case Western Reserve University,Case Western Reserve University Girls Who Code
Case Western Reserve University,Case Western Reserve University Hackers Society
Case Western Reserve University,Case Western Reserve University Biomedical Engineering Society
Case Western Reserve University,Case Western Reserve University American Institute of Chemical Engineers
Case Western Reserve University,Case Western Reserve University Baja Sae
Case Western Reserve University,Case Western Reserve University Aeronautics Team
Case Western Reserve University,Case Western Reserve University MedWish
Case Western Reserve University,Case Western Reserve University Rocket Team
Case Western Reserve University,Case Western Reserve University Global Health Design Collaborative
Case Western Reserve University,Case Western Reserve University Graduate Civil Engineering Student Association
Case Western Reserve University,Case Western Reserve University Medical Technology Group
Case Western Reserve University,Case Western Reserve University oSTEM
Case Western Reserve University,Case Western Reserve University Society of Hispanic Professional Engineers
Case Western Reserve University,Case Western Reserve University Society of Women Engineers
Case Western Reserve University,Case Western Reserve University Steel Bridge Team
Case Western Reserve University,Case Western Reserve University Theta Tau
Case Western Reserve University,Case Western Reserve University Women in Science and Engineering Roundtable
Case Western Reserve University,Case Western Reserve University American Marketing Association
Case Western Reserve University,Case Western Reserve University Association for Computing Machinery
Case Western Reserve University,Case Western Reserve University Neuroscience Society
Case Western Reserve University,Case Western Reserve University Orchestra
Case Western Reserve University,Case Western Reserve University Developer Student Club
Case Western Reserve University,Case Western Reserve University Design For America
Case Western Reserve University,Case Western Reserve University Discussions Undergraduate Research Journal
Ohio State University  ,Ohio State University   Engineers Without Borders
Ohio State University  ,Ohio State University   Girls Who Code
Ohio State University  ,Ohio State University   Hackers Society
Ohio State University  ,Ohio State University   Biomedical Engineering Society
Ohio State University  ,Ohio State University   American Institute of Chemical Engineers
Ohio State University  ,Ohio State University   Baja Sae
Ohio State University  ,Ohio State University   Aeronautics Team
Ohio State University  ,Ohio State University   MedWish
Ohio State University  ,Ohio State University   Rocket Team
Ohio State University  ,Ohio State University   Global Health Design Collaborative
Ohio State University  ,Ohio State University   Graduate Civil Engineering Student Association
Ohio State University  ,Ohio State University   Medical Technology Group
Ohio State University  ,Ohio State University   oSTEM
Ohio State University  ,Ohio State University   Society of Hispanic Professional Engineers
Ohio State University  ,Ohio State University   Society of Women Engineers
Ohio State University  ,Ohio State University   Steel Bridge Team
Ohio State University  ,Ohio State University   Theta Tau
Ohio State University  ,Ohio State University   Women in Science and Engineering Roundtable
Ohio State University  ,Ohio State University   American Marketing Association
Ohio State University  ,Ohio State University   Association for Computing Machinery
Ohio State University  ,Ohio State University   Neuroscience Society
Ohio State University  ,Ohio State University   Orchestra
Ohio State University  ,Ohio State University   Developer Student Club
Ohio State University  ,Ohio State University   Design For America
Ohio State University  ,Ohio State University   Discussions Undergraduate Research Journal
Indiana University,Indiana University Engineers Without Borders
Indiana University,Indiana University Girls Who Code
Indiana University,Indiana University Hackers Society
Indiana University,Indiana University Biomedical Engineering Society
Indiana University,Indiana University American Institute of Chemical Engineers
Indiana University,Indiana University Baja Sae
Indiana University,Indiana University Aeronautics Team
Indiana University,Indiana University MedWish
Indiana University,Indiana University Rocket Team
Indiana University,Indiana University Global Health Design Collaborative
Indiana University,Indiana University Graduate Civil Engineering Student Association
Indiana University,Indiana University Medical Technology Group
Indiana University,Indiana University oSTEM
Indiana University,Indiana University Society of Hispanic Professional Engineers
Indiana University,Indiana University Society of Women Engineers
Indiana University,Indiana University Steel Bridge Team
Indiana University,Indiana University Theta Tau
Indiana University,Indiana University Women in Science and Engineering Roundtable
Indiana University,Indiana University American Marketing Association
Indiana University,Indiana University Association for Computing Machinery
Indiana University,Indiana University Neuroscience Society
Indiana University,Indiana University Orchestra
Indiana University,Indiana University Developer Student Club
Indiana University,Indiana University Design For America
Indiana University,Indiana University Discussions Undergraduate Research Journal
University of Pennsylvania ,University of Pennsylvania  Engineers Without Borders
University of Pennsylvania ,University of Pennsylvania  Girls Who Code
University of Pennsylvania ,University of Pennsylvania  Hackers Society
University of Pennsylvania ,University of Pennsylvania  Biomedical Engineering Society
University of Pennsylvania ,University of Pennsylvania  American Institute of Chemical Engineers
University of Pennsylvania ,University of Pennsylvania  Baja Sae
University of Pennsylvania ,University of Pennsylvania  Aeronautics Team
University of Pennsylvania ,University of Pennsylvania  MedWish
University of Pennsylvania ,University of Pennsylvania  Rocket Team
University of Pennsylvania ,University of Pennsylvania  Global Health Design Collaborative
University of Pennsylvania ,University of Pennsylvania  Graduate Civil Engineering Student Association
University of Pennsylvania ,University of Pennsylvania  Medical Technology Group
University of Pennsylvania ,University of Pennsylvania  oSTEM
University of Pennsylvania ,University of Pennsylvania  Society of Hispanic Professional Engineers
University of Pennsylvania ,University of Pennsylvania  Society of Women Engineers
University of Pennsylvania ,University of Pennsylvania  Steel Bridge Team
University of Pennsylvania ,University of Pennsylvania  Theta Tau
University of Pennsylvania ,University of Pennsylvania  Women in Science and Engineering Roundtable
University of Pennsylvania ,University of Pennsylvania  American Marketing Association
University of Pennsylvania ,University of Pennsylvania  Association for Computing Machinery
University of Pennsylvania ,University of Pennsylvania  Neuroscience Society
University of Pennsylvania ,University of Pennsylvania  Orchestra
University of Pennsylvania ,University of Pennsylvania  Developer Student Club
University of Pennsylvania ,University of Pennsylvania  Design For America
University of Pennsylvania ,University of Pennsylvania  Discussions Undergraduate Research Journal
University of Illinois Chicago,University of Illinois Chicago Engineers Without Borders
University of Illinois Chicago,University of Illinois Chicago Girls Who Code
University of Illinois Chicago,University of Illinois Chicago Hackers Society
University of Illinois Chicago,University of Illinois Chicago Biomedical Engineering Society
University of Illinois Chicago,University of Illinois Chicago American Institute of Chemical Engineers
University of Illinois Chicago,University of Illinois Chicago Baja Sae
University of Illinois Chicago,University of Illinois Chicago Aeronautics Team
University of Illinois Chicago,University of Illinois Chicago MedWish
University of Illinois Chicago,University of Illinois Chicago Rocket Team
University of Illinois Chicago,University of Illinois Chicago Global Health Design Collaborative
University of Illinois Chicago,University of Illinois Chicago Graduate Civil Engineering Student Association
University of Illinois Chicago,University of Illinois Chicago Medical Technology Group
University of Illinois Chicago,University of Illinois Chicago oSTEM
University of Illinois Chicago,University of Illinois Chicago Society of Hispanic Professional Engineers
University of Illinois Chicago,University of Illinois Chicago Society of Women Engineers
University of Illinois Chicago,University of Illinois Chicago Steel Bridge Team
University of Illinois Chicago,University of Illinois Chicago Theta Tau
University of Illinois Chicago,University of Illinois Chicago Women in Science and Engineering Roundtable
University of Illinois Chicago,University of Illinois Chicago American Marketing Association
University of Illinois Chicago,University of Illinois Chicago Association for Computing Machinery
University of Illinois Chicago,University of Illinois Chicago Neuroscience Society
University of Illinois Chicago,University of Illinois Chicago Orchestra
University of Illinois Chicago,University of Illinois Chicago Developer Student Club
University of Illinois Chicago,University of Illinois Chicago Design For America
University of Illinois Chicago,University of Illinois Chicago Discussions Undergraduate Research Journal
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Engineers Without Borders
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Girls Who Code
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Hackers Society
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Biomedical Engineering Society
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign American Institute of Chemical Engineers
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Baja Sae
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Aeronautics Team
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign MedWish
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Rocket Team
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Global Health Design Collaborative
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Graduate Civil Engineering Student Association
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Medical Technology Group
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign oSTEM
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Society of Hispanic Professional Engineers
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Society of Women Engineers
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Steel Bridge Team
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Theta Tau
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Women in Science and Engineering Roundtable
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign American Marketing Association
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Association for Computing Machinery
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Neuroscience Society
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Orchestra
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Developer Student Club
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Design For America
University of Illinois Urbana Champaign,University of Illinois Urbana Champaign Discussions Undergraduate Research Journal
University of Michigan,University of Michigan Engineers Without Borders
University of Michigan,University of Michigan Girls Who Code
University of Michigan,University of Michigan Hackers Society
University of Michigan,University of Michigan Biomedical Engineering Society
University of Michigan,University of Michigan American Institute of Chemical Engineers
University of Michigan,University of Michigan Baja Sae
University of Michigan,University of Michigan Aeronautics Team
University of Michigan,University of Michigan MedWish
University of Michigan,University of Michigan Rocket Team
University of Michigan,University of Michigan Global Health Design Collaborative
University of Michigan,University of Michigan Graduate Civil Engineering Student Association
University of Michigan,University of Michigan Medical Technology Group
University of Michigan,University of Michigan oSTEM
University of Michigan,University of Michigan Society of Hispanic Professional Engineers
University of Michigan,University of Michigan Society of Women Engineers
University of Michigan,University of Michigan Steel Bridge Team
University of Michigan,University of Michigan Theta Tau
University of Michigan,University of Michigan Women in Science and Engineering Roundtable
University of Michigan,University of Michigan American Marketing Association
University of Michigan,University of Michigan Association for Computing Machinery
University of Michigan,University of Michigan Neuroscience Society
University of Michigan,University of Michigan Orchestra
University of Michigan,University of Michigan Developer Student Club
University of Michigan,University of Michigan Design For America
University of Michigan,University of Michigan Discussions Undergraduate Research Journal
Carnegie Mellon University,Carnegie Mellon University Engineers Without Borders
Carnegie Mellon University,Carnegie Mellon University Girls Who Code
Carnegie Mellon University,Carnegie Mellon University Hackers Society
Carnegie Mellon University,Carnegie Mellon University Biomedical Engineering Society
Carnegie Mellon University,Carnegie Mellon University American Institute of Chemical Engineers
Carnegie Mellon University,Carnegie Mellon University Baja Sae
Carnegie Mellon University,Carnegie Mellon University Aeronautics Team
Carnegie Mellon University,Carnegie Mellon University MedWish
Carnegie Mellon University,Carnegie Mellon University Rocket Team
Carnegie Mellon University,Carnegie Mellon University Global Health Design Collaborative
Carnegie Mellon University,Carnegie Mellon University Graduate Civil Engineering Student Association
Carnegie Mellon University,Carnegie Mellon University Medical Technology Group
Carnegie Mellon University,Carnegie Mellon University oSTEM
Carnegie Mellon University,Carnegie Mellon University Society of Hispanic Professional Engineers
Carnegie Mellon University,Carnegie Mellon University Society of Women Engineers
Carnegie Mellon University,Carnegie Mellon University Steel Bridge Team
Carnegie Mellon University,Carnegie Mellon University Theta Tau
Carnegie Mellon University,Carnegie Mellon University Women in Science and Engineering Roundtable
Carnegie Mellon University,Carnegie Mellon University American Marketing Association
Carnegie Mellon University,Carnegie Mellon University Association for Computing Machinery
Carnegie Mellon University,Carnegie Mellon University Neuroscience Society
Carnegie Mellon University,Carnegie Mellon University Orchestra
Carnegie Mellon University,Carnegie Mellon University Developer Student Club
Carnegie Mellon University,Carnegie Mellon University Design For America
Carnegie Mellon University,Carnegie Mellon University Discussions Undergraduate Research Journal
New York University,New York University Engineers Without Borders
New York University,New York University Girls Who Code
New York University,New York University Hackers Society
New York University,New York University Biomedical Engineering Society
New York University,New York University American Institute of Chemical Engineers
New York University,New York University Baja Sae
New York University,New York University Aeronautics Team
New York University,New York University MedWish
New York University,New York University Rocket Team
New York University,New York University Global Health Design Collaborative
New York University,New York University Graduate Civil Engineering Student Association
New York University,New York University Medical Technology Group
New York University,New York University oSTEM
New York University,New York University Society of Hispanic Professional Engineers
New York University,New York University Society of Women Engineers
New York University,New York University Steel Bridge Team
New York University,New York University Theta Tau
New York University,New York University Women in Science and Engineering Roundtable
New York University,New York University American Marketing Association
New York University,New York University Association for Computing Machinery
New York University,New York University Neuroscience Society
New York University,New York University Orchestra
New York University,New York University Developer Student Club
New York University,New York University Design For America
New York University,New York University Discussions Undergraduate Research Journal
Columbia University,Columbia University Engineers Without Borders
Columbia University,Columbia University Girls Who Code
Columbia University,Columbia University Hackers Society
Columbia University,Columbia University Biomedical Engineering Society
Columbia University,Columbia University American Institute of Chemical Engineers
Columbia University,Columbia University Baja Sae
Columbia University,Columbia University Aeronautics Team
Columbia University,Columbia University MedWish
Columbia University,Columbia University Rocket Team
Columbia University,Columbia University Global Health Design Collaborative
Columbia University,Columbia University Graduate Civil Engineering Student Association
Columbia University,Columbia University Medical Technology Group
Columbia University,Columbia University oSTEM
Columbia University,Columbia University Society of Hispanic Professional Engineers
Columbia University,Columbia University Society of Women Engineers
Columbia University,Columbia University Steel Bridge Team
Columbia University,Columbia University Theta Tau
Columbia University,Columbia University Women in Science and Engineering Roundtable
Columbia University,Columbia University American Marketing Association
Columbia University,Columbia University Association for Computing Machinery
Columbia University,Columbia University Neuroscience Society
Columbia University,Columbia University Orchestra
Columbia University,Columbia University Developer Student Club
Columbia University,Columbia University Design For America
Columbia University,Columbia University Discussions Undergraduate Research Journal
Cornell University,Cornell University Engineers Without Borders
Cornell University,Cornell University Girls Who Code
Cornell University,Cornell University Hackers Society
Cornell University,Cornell University Biomedical Engineering Society
Cornell University,Cornell University American Institute of Chemical Engineers
Cornell University,Cornell University Baja Sae
Cornell University,Cornell University Aeronautics Team
Cornell University,Cornell University MedWish
Cornell University,Cornell University Rocket Team
Cornell University,Cornell University Global Health Design Collaborative
Cornell University,Cornell University Graduate Civil Engineering Student Association
Cornell University,Cornell University Medical Technology Group
Cornell University,Cornell University oSTEM
Cornell University,Cornell University Society of Hispanic Professional Engineers
Cornell University,Cornell University Society of Women Engineers
Cornell University,Cornell University Steel Bridge Team
Cornell University,Cornell University Theta Tau
Cornell University,Cornell University Women in Science and Engineering Roundtable
Cornell University,Cornell University American Marketing Association
Cornell University,Cornell University Association for Computing Machinery
Cornell University,Cornell University Neuroscience Society
Cornell University,Cornell University Orchestra
Cornell University,Cornell University Developer Student Club
Cornell University,Cornell University Design For America
Cornell University,Cornell University Discussions Undergraduate Research Journal
University of Texas at Austin,University of Texas at Austin Engineers Without Borders
University of Texas at Austin,University of Texas at Austin Girls Who Code
University of Texas at Austin,University of Texas at Austin Hackers Society
University of Texas at Austin,University of Texas at Austin Biomedical Engineering Society
University of Texas at Austin,University of Texas at Austin American Institute of Chemical Engineers
University of Texas at Austin,University of Texas at Austin Baja Sae
University of Texas at Austin,University of Texas at Austin Aeronautics Team
University of Texas at Austin,University of Texas at Austin MedWish
University of Texas at Austin,University of Texas at Austin Rocket Team
University of Texas at Austin,University of Texas at Austin Global Health Design Collaborative
University of Texas at Austin,University of Texas at Austin Graduate Civil Engineering Student Association
University of Texas at Austin,University of Texas at Austin Medical Technology Group
University of Texas at Austin,University of Texas at Austin oSTEM
University of Texas at Austin,University of Texas at Austin Society of Hispanic Professional Engineers
University of Texas at Austin,University of Texas at Austin Society of Women Engineers
University of Texas at Austin,University of Texas at Austin Steel Bridge Team
University of Texas at Austin,University of Texas at Austin Theta Tau
University of Texas at Austin,University of Texas at Austin Women in Science and Engineering Roundtable
University of Texas at Austin,University of Texas at Austin American Marketing Association
University of Texas at Austin,University of Texas at Austin Association for Computing Machinery
University of Texas at Austin,University of Texas at Austin Neuroscience Society
University of Texas at Austin,University of Texas at Austin Orchestra
University of Texas at Austin,University of Texas at Austin Developer Student Club
University of Texas at Austin,University of Texas at Austin Design For America
University of Texas at Austin,University of Texas at Austin Discussions Undergraduate Research Journal
Michigan State University,Michigan State University Engineers Without Borders
Michigan State University,Michigan State University Girls Who Code
Michigan State University,Michigan State University Hackers Society
Michigan State University,Michigan State University Biomedical Engineering Society
Michigan State University,Michigan State University American Institute of Chemical Engineers
Michigan State University,Michigan State University Baja Sae
Michigan State University,Michigan State University Aeronautics Team
Michigan State University,Michigan State University MedWish
Michigan State University,Michigan State University Rocket Team
Michigan State University,Michigan State University Global Health Design Collaborative
Michigan State University,Michigan State University Graduate Civil Engineering Student Association
Michigan State University,Michigan State University Medical Technology Group
Michigan State University,Michigan State University oSTEM
Michigan State University,Michigan State University Society of Hispanic Professional Engineers
Michigan State University,Michigan State University Society of Women Engineers
Michigan State University,Michigan State University Steel Bridge Team
Michigan State University,Michigan State University Theta Tau
Michigan State University,Michigan State University Women in Science and Engineering Roundtable
Michigan State University,Michigan State University American Marketing Association
