university_name,city,state,website
Case Western Reserve Unviersity,Cleveland,Ohio,case.edu 
Ohio State University  ,Columbus,Ohio,osu.edu 
Indiana University,Bloomington,Indiana,iu.edu
University of Pennsylvania ,Philadelphia ,Pennsylvania ,upenn.edu
University of Illinois Chicago,Chicago,Illinois,uic.edu
University of Illinois Urbana Champaign,Urbana-Champaign,Illinois,illinois.edu
University of Michigan,Ann Arbor,Michigan,umich.edu
Carnegie Mellon University,,Pennsylvania ,
New York University,New York,New York,
Columbia University,,New York,
Cornell University,Ithaca,New York,
University of Texas at Austin,Austin,Texas,
Michigan State University,,Michigan,
Harvard University,Boston,Massechusetts,
Boston Unversity,Boston,Massechusetts,
Massachusetts Institute of Technology,Boston,Massechusetts,
Northeastern University,Boston,Massechusetts,
Harvy Mudd College,,California,
Middlebury College,,Vermont,
University of Pennsylvania ,Philadelphia,Pennsylvania ,
University of Florida at Miami,Miami,Florida,
Yale University,Hartford,Connecticut,
Pomona College,,California,
University of California at Berkley,,California,
