project_title,project_based_club
project1,Case Western Reserve University Math Club
project2,Case Western Reserve University Girls Who Code
project3,Case Western Reserve University Hackers Society
project4,Case Western Reserve University Biomedical Engineering Society
project5,Case Western Reserve University American Institute of Chemical Engineers
project6,Case Western Reserve University Baja Sae
project7,Case Western Reserve University Aeronautics Team
project8,Case Western Reserve University MedWish
project9,Case Western Reserve University Rocket Team
project10,Case Western Reserve University Global Health Design Collaborative
project11,Case Western Reserve University Graduate Civil Engineering Student Association
project12,Case Western Reserve University Medical Technology Group
project13,Case Western Reserve University oSTEM
project14,Case Western Reserve University Society of Hispanic Professional Engineers
project15,Case Western Reserve University Society of Women Engineers
project16,Case Western Reserve University Steel Bridge Team
project17,Case Western Reserve University Theta Tau
project18,Case Western Reserve University Women in Science and Engineering Roundtable
project19,Case Western Reserve University American Marketing Association
project20,Case Western Reserve University Association for Computing Machinery
project21,Case Western Reserve University Neuroscience Society
project22,Case Western Reserve University Orchestra
project23,Case Western Reserve University Developer Student Club
project24,Case Western Reserve University Design For America
project25,Case Western Reserve University Discussions Undergraduate Research Journal
project26,Ohio State University   Engineers Without Borders
project27,Ohio State University   Girls Who Code
project28,Ohio State University   Hackers Society
project29,Ohio State University   Biomedical Engineering Society
project30,Ohio State University   American Institute of Chemical Engineers
project31,Ohio State University   Baja Sae
project32,Ohio State University   Aeronautics Team
project33,Ohio State University   MedWish
project34,Ohio State University   Rocket Team
project35,Ohio State University   Global Health Design Collaborative
project36,Ohio State University   Graduate Civil Engineering Student Association
project37,Ohio State University   Medical Technology Group
project38,Ohio State University   oSTEM
project39,Ohio State University   Society of Hispanic Professional Engineers
project40,Ohio State University   Society of Women Engineers
project41,Ohio State University   Steel Bridge Team
project42,Ohio State University   Theta Tau
project43,Ohio State University   Women in Science and Engineering Roundtable
project44,Ohio State University   American Marketing Association
project45,Ohio State University   Association for Computing Machinery
project46,Ohio State University   Neuroscience Society
project47,Ohio State University   Orchestra
project48,Ohio State University   Developer Student Club
project49,Ohio State University   Design For America
project50,Ohio State University   Discussions Undergraduate Research Journal
project51,Indiana University Engineers Without Borders
project52,Indiana University Girls Who Code
project53,Indiana University Hackers Society
project54,Indiana University Biomedical Engineering Society
project55,Indiana University American Institute of Chemical Engineers
project56,Indiana University Baja Sae
project57,Indiana University Aeronautics Team
project58,Indiana University MedWish
project59,Indiana University Rocket Team
project60,Indiana University Global Health Design Collaborative
project61,Indiana University Graduate Civil Engineering Student Association
project62,Indiana University Medical Technology Group
project63,Indiana University oSTEM
project64,Indiana University Society of Hispanic Professional Engineers
project65,Indiana University Society of Women Engineers
project66,Indiana University Steel Bridge Team
project67,Indiana University Theta Tau
project68,Indiana University Women in Science and Engineering Roundtable
project69,Indiana University American Marketing Association
project70,Indiana University Association for Computing Machinery
project71,Indiana University Neuroscience Society
project72,Indiana University Orchestra
project73,Indiana University Developer Student Club
project74,Indiana University Design For America
project75,Indiana University Discussions Undergraduate Research Journal
project76,University of Pennsylvania  Engineers Without Borders
project77,University of Pennsylvania  Girls Who Code
project78,University of Pennsylvania  Hackers Society
project79,University of Pennsylvania  Biomedical Engineering Society
project80,University of Pennsylvania  American Institute of Chemical Engineers
project81,University of Pennsylvania  Baja Sae
project82,University of Pennsylvania  Aeronautics Team
project83,University of Pennsylvania  MedWish
project84,University of Pennsylvania  Rocket Team
project85,University of Pennsylvania  Global Health Design Collaborative
project86,University of Pennsylvania  Graduate Civil Engineering Student Association
project87,University of Pennsylvania  Medical Technology Group
project88,University of Pennsylvania  oSTEM
project89,University of Pennsylvania  Society of Hispanic Professional Engineers
project90,University of Pennsylvania  Society of Women Engineers
project91,University of Pennsylvania  Steel Bridge Team
project92,University of Pennsylvania  Theta Tau
project93,University of Pennsylvania  Women in Science and Engineering Roundtable
project94,University of Pennsylvania  American Marketing Association
project95,University of Pennsylvania  Association for Computing Machinery
project96,University of Pennsylvania  Neuroscience Society
project97,University of Pennsylvania  Orchestra
project98,University of Pennsylvania  Developer Student Club
project99,University of Pennsylvania  Design For America
project100,University of Pennsylvania  Discussions Undergraduate Research Journal
project101,University of Illinois Chicago Engineers Without Borders
project102,University of Illinois Chicago Girls Who Code
project103,University of Illinois Chicago Hackers Society
project104,University of Illinois Chicago Biomedical Engineering Society
project105,University of Illinois Chicago American Institute of Chemical Engineers
project106,University of Illinois Chicago Baja Sae
project107,University of Illinois Chicago Aeronautics Team
